tweet_id	text	misogyny	category
78	مستخدم@ مستخدم@ شو ناطرة يا بهيمة؟	misogyny	discredit
79	مستخدم@ مستخدم@ مستخدم@ الحسين وقبله محمد عليهم السلام لم يكونوا ظلمة ولم يؤذوا أحدا لا مسلما ولا غ… https://t.co/XKbmp0x9P1	none	none
80	مستخدم@ مستخدم@ هلق توصيفك لهالورقة نابع عن عصارة فهمك ؟ بس لنعرف عمق تفكير البعض ��‍♂️�	none	none
81	مستخدم@ انشالله بيقبر قلبك عنجد	misogyny	damning
82	مستخدم@ وبعدين اسمو السيد حسن مش حاف يا بهيمة	misogyny	discredit
83	مستخدم@ انشالله بيقبرك عن قريب	misogyny	damning
84	مستخدم@ الله يدمرك ويدمر ابناك مثل ما دمرتي اليمن وابنائه الله ينتقم منك ومن داعمينك لخراب اليمن	misogyny	damning
85	مستخدم@ فشرتي ياحاقدة	misogyny	discredit
86	مستخدم@ ايه الشر ده منهم لله سفله الأرض المصريه	none	none
87	مستخدم@ ست ديما ، تحياتي لحضرتك . هل هذه معلومات ام مجرد تحليل ؟	none	none
88	مستخدم@ طيب لا يطيح طقم الاسنان من عفن فمك .وانتي تتنبئين . ملاحظه معروفة عنك ريحتك مقززه .	misogyny	stereotyping & objectification
89	مستخدم@ والله تشبهين الخفاش في الملابس الى عليك انتي سبب انتشار كورونا	misogyny	stereotyping & objectification
90	مستخدم@ من طرابلس الكرامة و الشرف من ساحة الشرف ساحة النور الف تحية لك ديما صادق مستخدم@ و الى ثوار بيروت في… https://t.co/ztkz2dRzRC	none	none
91	مستخدم@ ما هي الرسالة التي توجه؟ سخافة متل سخافة مستخدم@	misogyny	discredit
92	تغريدة في حب : مش بموقع دفاع بس إمرأة بتعبر عن أرائها ومواقفها في زمن كتار عم بخافوا يحكوا كرمال 100 $ أ… https://t.co/qpDJ3DcSOa	none	none
93	مستخدم@ مستخدم@ مستخدم@ بل بلد متنوع دينياً .. لن ينعم هذا الشعب العظيم بالرخاء إلا بحكومة تكنوقراطية لا تؤمن بالأحزاب .	none	none
94	مستخدم@ اقول فرشي اسنانك ونظفيها ابرك لك	none	none
95	مستخدم@ بسلمو عليكي آل شمص و ناطرينك ليسلمو عليكي �	none	none
96	مستخدم@ يا اعلامية يا فهماني يا حمارة سماحتو فال لا نؤيد استقالة الحكومة وقال لن يسقط عهد الرئيس عون بتفرق بايبي	misogyny	discredit
97	مستخدم@ يا اوطى وحدة من هون لمدغشقر 	misogyny	discredit
98	مستخدم@ عقبالك لما تعتزلى السياسه ذى محمد على	none	none
99	مستخدم@ وح تضلي ديما الواطية	misogyny	discredit
100	مستخدم@ سقط الرئيس الحريري يا هبلة	misogyny	discredit
101	مستخدم@ يخرب بيتك ما اجدبك حزب الله بس بدو يبعت بيبعت صاروخ عا نص دين تختك انت وعم تشخري يا هبلة وعا فكرة ما ناسيتك 	misogyny	threat of violence
102	مستخدم@ وكلوش الاتراك في المهمه اذا الورثة متنازلين انتي ايش حاشرك في الموضوع استحي على وجهك وركزي في شغلك بالفيس بوك	misogyny	discredit
103	مستخدم@ كتير حلو لإنسان يكون مثير للجدل هيدا إلو علاقة بطبيعة الشخصية القيادية يعني شي ايجابي هيدا بس كتير بشع… https://t.co/CDtJgdKsHt	none	none
104	مستخدم@ تنمر ايه انتي محتاجه سمكري ياخد وشك ع البارد يمكن يقدر يعمل منك ست 👇🏻 https://t.co/d5jqlZDizT	misogyny	stereotyping & objectification
105	مستخدم@ انه عملو تسوية سوا وبيفللوا سوا. مش هيك؟	none	none
106	مستخدم@ ايش الريحة المقرفة إللي فاحت مع تغريدتك اف اف اف 😷 يالمخيسة كم مرة أقولك فرشي أسنانك	misogyny	stereotyping & objectification
107	مستخدم@ اه طلعتو انتو جماعة الحمامات النقالة��������	none	none
108	مستخدم@ اخرسي و اسمو السيد حسن	misogyny	discredit
109	مستخدم@ انشالله بيقبرك ومنرتاح من سمك يا خنزيرة ����	misogyny	damning
110	مستخدم@ الله يحميكي ديما هذا عميل إيراني لا علاقة له بلبنان الا المتعة و الحشيشة	none	none
111	مستخدم@ شو قصتك مع المقاومة لو عنجد بتحبي لبنان روحي شوفي عملاء اسرائيل واكشفي المستور من جماعة جميل وجعجع ومن لف لفيفهم ....	none	none
112	مستخدم@ لان ما لاقو اوطى منك انت الاساس يا مدام	misogyny	discredit
113	مستخدم@ مستخدم@ لمتلك صعب يكون بين فاسدين وزعران ...شكرا سعد الحريري على موقفك كل احترامي وتقديري لك⁦❤️⁩�	none	none
114	مستخدم@ لعنه الله عليك يا ظرطان نكبتي ام اليمن	misogyny	damning
115	مستخدم@ خفيفي حمرنة لأن بعرف مافيكي توقفي ���	misogyny	discredit
116	مستخدم@ بتنفعي محللة بول	misogyny	discredit
117	مستخدم@ وجهك يجيب المرض اعوذ بالله سماهم في وجوههم	misogyny	stereotyping & objectification
118	مستخدم@ اشغلتيني يالزيدية بهالجائزة اللي يشوفك يقول طالعه القمر...طلعت فضيحتك للعالم يا بقرة انتي اجيرة للكلاب الاخونج وحمير تركيا وقطر يا قذرة	misogyny	discredit
119	مستخدم@ أحلى نوال �	none	none
120	مستخدم@ امتي انسانة حقيرة بتدعي المثالية ربنا ياخدك	misogyny	damning
121	مستخدم@ يكش تحسى على دمك وتبطلى تغلطى في مصر	misogyny	discredit
122	RT مستخدم@: ثورة و الدني خربانة و الطرقات مقطوعة و مواجهات بين الجيش و المتظاهرين أيمتى لّحقت نانسي السبع تشقر شعاراتها ؟ � #لبنان…	none	none
123	مستخدم@ يا حيوانة من الذي حرر الارض عنجد انك تافهة ولنا الشرف ان يكون ولاءنا العقائدي للسيد الخميني والخامنئي يا نجسة	misogyny	discredit
124	مستخدم@ صباح الفل يمنى	none	none
125	مستخدم@ مستخدم@ ديما شعرها حلو ���	none	none
126	مستخدم@ ست ديما صراحتك وصدقك خوفهم. تحية. ��	none	none
127	مستخدم@ اي نازلين نشدك بشعرك	misogyny	threat of violence
128	مستخدم@ يا حمارة يا سطله ما بتفهمي عربي ، سماحة الأمين العام تاج رأسك قال لن يسقط العهد ، جايبي العار لبلدتك الخيام ، تفه يا شاضومه	misogyny	discredit
129	مستخدم@ كذابة كلن يعني كلن كلكم مرتشين ومنافقين وشذاذي الراي	misogyny	discredit
130	لا هشجع زمالك ولا بيراميدز انا طول عمري مبحبش الكوره النسائيه 🏃‍♀️👯‍♀️وبقول الستات ملهاش غير في المطبخ 🥣🥗🍲🥘😂😀اهلاوى💪💪💪	misogyny	stereotyping & objectification
131	مستخدم@ ديما لا ارى ضرورة لإذاعة هذا الخبر من قبلك فأنت اعلامية ولستِ مذيعة اخبار. يسعد مساك.	none	none
132	مستخدم@ يا صرماية حضري الفيديو، عنجد دايما بتخليني بهدلك، يلا اسطفلي، كلي خرا https://t.co/exsNuLp2b6	misogyny	discredit
133	مستخدم@ ديما الواطيه.. داعشيه	misogyny	discredit
134	مستخدم@ مين حضرتك حتى تصنفي العالم بين مواطن وغنم ! تا تكوني إعلامية ناجحة ومحترمة لازم تكوني موضوعية وتحترمي خيارات العالم	none	none
135	مستخدم@ ديما صادق هزت عرش ملوك الطواءف و الاحزاب و زلزلت الارض تحت تجار الدين و المقاومه بلبنان,	none	none
136	مستخدم@ ولابد لكسمك أن ينفشخ ولابد للية أبوك أن تتقلي في الزيت يابنت جهاد النكاح	misogyny	sexual harassment
137	مستخدم@ ان شاء الله ست ليليان بتلاقي اللي يقطع رأسك انتي و الست ديانا مقلد يا ارامل ماكرون مهما حاولتم التستر فالثقافة بتضلوا عنصريين و طائفيين	misogyny	threat of violence
138	مستخدم@ تويته فيها نهاية حياتك المهنية معرفش الحياة حق إزاي بالشذوذ يعني؟	none	none
139	مستخدم@ الحريري من 2005 لهلئ صار مستقيل 100 مره خفوها شوي	none	none
140	مستخدم@ و يا أوسخ الناس انتي يلي مع مصلحتك بتمشي	misogyny	discredit
141	يا جماعة خلونا نعمل اكل على الطريق او نجيب اكل للجيش اللبناني الي صرلو من الصبح واقف على الطرقات. #دمعة_وطن… https://t.co/V5PxVxyjcC	none	none
142	مستخدم@ مستخدم@ افهم يا بلا فهم	none	none
143	مستخدم@ مستخدم@ والمنظمة ما بدا مصاري يا زيكو متل المحكمة الدولية بعدو عم ندفع من مالنا	none	none
144	مستخدم@ قبح الله وجهك يا ظلف العنز	misogyny	damning
145	مستخدم@ و ستسقط كل الخطوط الحمراء...	none	none
146	مستخدم@ يسلم تمك انا اليوم مراسلة الجديد نانسي السبع كانت عم تقول مجموعات حزبية على ناس عم تهتف للسيد حسن نص… https://t.co/k0b0j42gHb	none	none
147	مستخدم@ روحى بس استحمى ياريحة المعيز انتى 🤣	misogyny	stereotyping & objectification
148	مستخدم@ الله يعطيك العافيه ويحميكي	none	none
149	مستخدم@ الضاله المُضله من لا تعرف دينها ولا تحترم علماؤه حذاء بن باز اطهر من وجهك ياعبدة الغرب اذا كنتي تجهلين علمه فاخرسي ☝️	misogyny	dominance
150	مستخدم@ عاهرة وبنت حرام	misogyny	discredit
151	مستخدم@ والله يا نيكول زعران حزب الله بس بيقدرو على المناطق الموجودين فيها. يسترجو يطلعو على طرابلس ، جونيه، ا… https://t.co/81DKFnX53f	none	none
152	مستخدم@ ما اسأل دمك ، طرطورة السياسيين	misogyny	discredit
153	مستخدم@ انتي كذابة كبيرة وكل أخبارك عن المناطق الشيعية كذب بكذب ، وكل الناس بتعرف هالشي ..بكفي أكل خرا ونفاق	misogyny	discredit
154	مستخدم@ مستخدم@ انشالله بتسلمي اكيد فاتحة عزاء عندك بالبيت	none	none
155	مستخدم@ مستخدم@ عاهرة الإعلام	misogyny	discredit
156	مستخدم@ يا هبلة في فرق بين احتفال او نشاط للحزب وبين خطاب موجه لكل اللبنانيين . الحمار بضل حمار حتى لو اسمو ديما كاذب #بتشتغل_يا_أحمد	misogyny	discredit
157	مستخدم@ والنبي إطلعي انتي منها ..ابننا ونربيه بشوقنا كفاية حك ومحن بقى !	misogyny	sexual harassment
158	مستخدم@ روحي انضبي يا شرشوحة وتعلمي الفهم	misogyny	discredit
159	مستخدم@ انت مين طلب منك تشاركينا الثورة ؟ عدائك للحزب ع راسي بس خلي ببطنك وما تحكي باسم الثوار ، انت معروفي مين !! بس هيك	none	none
160	والله ان الفسويات خربو بيوتنا حسبي الله عليهم هالفاسقات الفاسدات الحرمه مكانها المطبخ بس	misogyny	discredit
161	النسوان كلهم نكديين فلما تتجوز اختار اللي تكشيرتها قمر 😌	misogyny	dominance
162	مستخدم@ انتي هبلة يابت الوسخة ، اومال الناس اللي خرجت دي ايه ملهاش لازمة عندك ياعميلة يامنعمة في تركيا وخربتي بلدك وقبضتي التمن من اردوغان باسافلة	misogyny	discredit
163	حابب اقول تنويه وانا بذاكر المادة الوسخة دي، ربنا يسامحه اللي خرج الستات من المطبخ و مسكهم اقسام عشان ادرس الخرة ده و اضيع عليه صحتي و شكراً.	misogyny	stereotyping & objectification
164	مستخدم@ سدي بوزك راس الفتنة انتي	misogyny	discredit
165	مستخدم@ استحي بقا كلي هوا .جيبي الاولى بلشرشحة وبلبهدلي وبعدك عمتتفلسفي اخرسي وانضبي شرشوحة ما تتدخلي بلحراك واللا صتدوق البندورة طاهزتلك	misogyny	discredit
166	مستخدم@ ليكي نصيحة مني بعدي عن بيت شمص لان العلقة مع نساوانا مش رجالا علقة كبيرة يلا تم الدعس	misogyny	threat of violence
167	مستخدم@ عجوز ابليس أنتي مو تحت أقدامنا تكرم أقدامنا عنك إلا تحت جزمنا ندعسك دعسسس 👞👞	misogyny	dominance
168	مستخدم@ من ريحتك الشينه كتمتيهم 🤢😷 لوثتي ام الكوكب🤣 https://t.co/BIiwG6hSdk	misogyny	stereotyping & objectification
169	مستخدم@ مستخدم@ مجرد انك عم تفتشي ع ثغرات هيدا دليل إفلاس	misogyny	discredit
170	مستخدم@ برافو عليكي بتبيني كثير عن أخلاقياتك بالتحاور على العموم إسمه لا يعيبه ولكن تهكمك يهينك أنتي	none	none
171	مستخدم@ طفيلية ورح تبقى هيك	misogyny	discredit
172	مستخدم@ السيد اذا بتريدي وهوي خط احمر وللي مش عاجبو يبلط البحر	none	none
173	مستخدم@ السيّد حسن نصرالله يا بلا أخلاق يا واطية وتاني شي إذا قبرناكِ بالناقص عاهرة �	misogyny	discredit
174	مستخدم@ الله يدمرش مثل مادمرتي شعب بأكمله الله لاعاده عليش الا وانتي في نار جهنم ياحمالت الحطب	misogyny	damning
175	مستخدم@ مستخدم@ مستخدم@ الله يحميكي 	none	none
176	مستخدم@ هودي الاولاد بفضلن بعد فضل الله عايشي بعزة وكرامة وهتي وحدن اللي رفعولك اسم وطننا لبنان نعم لبنان الشهدا… https://t.co/qakEgyhAtu	none	none
177	مستخدم@ الله لايوفقك ماشبعتي دم ...ماشبعتي تهجير....ماشبعتي جوع لسى ما امتلائتي ياجهنم نوبل	misogyny	damning
178	مستخدم@ تفووو عليك ابوك واخوك تبرأو منك يا أخونجية قردوغان	misogyny	discredit
179	مستخدم@ ديما اول شي يعطيكم الف الف عافية. انا لبناني بالكويت. بس بدي قول يا ريت بتوصل الرسالة انو لازم المتظاهري… https://t.co/zKoQCkAzXO	none	none
180	مستخدم@ ويمكن العالم ما بدها يياكي كمان !! عم تلاحظي نسبة الكره إلك أديش صارت ؟ أكيد اكتر من شيكاتك اللي ناطرة رياض سلامة يصرفها ..	none	none
181	مستخدم@ انشاالله بيقبرك	misogyny	damning
182	مستخدم@ احكي شوي منطق يمنى صوبوا البوصلة مظبوط واحكوا ضميركم .. انزه رجل هو الجنرال عون حطوا ايديكم بايدوا لنخل… https://t.co/6hip8fQus6	none	none
183	مستخدم@ حتى مننا نحن المواطنين الضعفاء ندعي الله انه يوفقش بمنشار اكبر من منشار خاشقجي وتكريما لانك نوبليه يعززوا بمفرمه صنع فرنسي اصلي	misogyny	damning
184	يا جماعة رضوى الشربينى عاملة حلقة بتتعرض دلوقتى ، اثبتت فعلاً انت الست مش مكانها فى المطبخ ده كتير عليها المطبخ .	misogyny	stereotyping & objectification
185	مستخدم@ تروح روحك فاضية تافهة	misogyny	discredit
186	مستخدم@ واطية عن جد واطية	misogyny	discredit
187	مستخدم@ خليكي في حالك وفي بلدك ياعقربه إحنا مدمنين حكم العسكر إنتي مال أهلك بينا داهيه لما تاخدك	misogyny	discredit
188	موضوع تخفيض رواتب السياسيين قلة عقل. ياخدو اكثر بس يخدمو البلد و ما يسرقو. السياسي النشيط الفعال بموقعه بيستاهل كل… https://t.co/NWWCVsruXU	none	none
189	مستخدم@ روحي إدعميهم يابقره..خرى عالجامعه يلي خرجتك	misogyny	discredit
190	مستخدم@ . الله يصلحك حتى الميت ماسلم من شركم . الله يرحم ابن باز ويكفي المسلمين شركم ايه الاخونجيه. . . ( تفوووووو عليك) https://t.co/ntZN6rNLZ6	misogyny	discredit
191	مستخدم@ في متل ليبي عندنا يقول (ما ضميتي حوسة بيتك يا بال اديري عصبان) معنها اشقي ب بلادك وبلا تفوسيد زايد	misogyny	discredit
192	مستخدم@ عندما تعجز البقره عن الرد تذهب وتصف الشيخ عبد الله بالنكرة	misogyny	discredit
193	مستخدم@ طولي بالك بتهون	none	none
194	مستخدم@ التلفون الذكي اللي كتبتي بيه التويته الخايسه دي والله اذكى منك ..	misogyny	discredit
195	مستخدم@ مهبولة يا بنت انتي اصلا بدك مية سنة لتصيري إعلامية...اذا ندى أندراوس عزيز ايقونة التلفزيون وحكيتي عنا يا قلب اسود انتي	misogyny	discredit
196	مستخدم@ هما عطوكى نوبل ازاى يابنت الوسخة انتى!	misogyny	discredit
197	مستخدم@ قال لن يسقط العهد يا مجوية	misogyny	discredit
198	مستخدم@ عنجد زكيه كتيير https://t.co/RhRt0r14co	none	none
199	مستخدم@ مستخدم@ انه حرام هي حلوة كتير كانت. هلق ما بعرف ليه هلقد تعبانة	none	none
200	مستخدم@ مستخدم@ واطية 	misogyny	discredit
201	مستخدم@ اسال الله ان يجعل لك ثورة سزطان تنهش جسمك من فوقك لاتحتك...	misogyny	damning
202	مستخدم@ بشرفك اذا بتسكتي مش افضل كرمالك وكرمالنا، ليش الاصرار على الهبل!!	misogyny	discredit
203	مستخدم@ تبا لك أيتها الغبية ، لا علاقة لك لا بالسياسة ولا بمصلحة اليمن	misogyny	discredit
204	"مستخدم@ عذرا ، سترفعين ""دعوى"" و ليس ""دعوة""."	none	none
205	مستخدم@ اكثر انسان وطني ببلدي، هيدا معناتو العلم اللبناني، رسالة واضحة بعرفك افهم من هيك	none	none
206	مستخدم@ مستخدم@ بتعجبني الثقة بالنفس. لكن فاقد الشيء لا يعطيه.	none	none
207	مستخدم@ انتي اكبر منافقة وجبانه مثلك مثل أي اعلامي وصحفي وضيع باع آخرته بدنياه وكذب ودلس	misogyny	discredit
208	مستخدم@ يا ديما حللي عن جبران صار مليون مرة قايلك :انا مجوز وبحب مرتي شانتال حللي عني يا 	misogyny	discredit
209	مستخدم@ مستخدم@ يا حيوانة ما انت اصل الفتنة وكب الحرام .. استرجي انتقدي البطرك لتنكبي متل الكلبة برات شغلك .… https://t.co/P2nNO1th7j	misogyny	discredit
210	مستخدم@ حريم وش نقول ، قلنا لكم مكانهم البيت وبس	misogyny	stereotyping & objectification
211	مستخدم@ اصلا سن اليأس مش نهاية العالم ستتأقلمين معه	misogyny	stereotyping & objectification
212	مستخدم@ يا بهيمة قال السيد لن يسقط العهد مش الحكومة	misogyny	discredit
213	مستخدم@ مستخدم@ فوق غبائك بشاعة https://t.co/RV6pMzicgz	misogyny	stereotyping & objectification
214	مستخدم@ ولك العما فيكي شو انك سافلة، جد انه احمد الحاج مجوز واحدة شلكة مبهدلتو متل ما بيضل يقول!!!!	misogyny	discredit
215	مستخدم@ أديش سعرك؟	misogyny	stereotyping & objectification
216	مستخدم@ الله يحميكي ديما ويكون معك ويقويكي ولا تردي على هالخواريف	none	none
217	مستخدم@ انت يا نوال متهورة	none	none
218	مستخدم@ سلامات يا بطلة	none	none
219	مستخدم@ لعنة الله عليك في الدنيا والأخره	misogyny	damning
220	مستخدم@ الشهداء تاج راسك وتاج رأس معلمك الحرامي بس صوتك كتير رخيص	misogyny	discredit
221	مستخدم@ انتي شفتي روحك واسنانك في مرايت بيتكم . روحي عدلي اسنان الفارة احسن لك لاعب فيهم القات	misogyny	stereotyping & objectification
222	مستخدم@ فرشي اسنانك بعد ما تقوتي الله يقرفك. https://t.co/YiCsDnOoi6	misogyny	damning
223	كرة القدم حرام والمرأة مكانها المطبخ وحسبي الله ونعم والوكيل	misogyny	stereotyping & objectification
224	مستخدم@ سخيفة ورخيصة	misogyny	discredit
225	هم كذا النسوان كلهم من ظلع اعوج	misogyny	dominance
