tweet_id	category
213	discredit
214	stereotyping & objectification
215	none
216	stereotyping & objectification
217	none
218	none
219	discredit
220	stereotyping & objectification
221	none
222	discredit
223	none
224	threat of violence
225	stereotyping & objectification
226	discredit
227	discredit
228	discredit
229	discredit
230	none
231	damning
232	derailing
233	none
234	discredit
235	discredit
236	threat of violence
237	discredit
238	none
239	stereotyping & objectification
240	discredit
241	stereotyping & objectification
242	none
243	none
244	none
245	none
246	discredit
247	stereotyping & objectification
248	none
249	threat of violence
250	discredit
251	discredit
252	none
253	none
254	discredit
255	discredit
256	none
257	none
258	none
259	none
260	discredit
261	threat of violence
262	none
263	discredit
264	discredit
265	discredit
266	discredit
267	none
268	none
269	discredit
270	derailing
271	discredit
272	none
273	none
274	discredit
275	none
276	stereotyping & objectification
277	derailing
278	none
279	none
280	none
281	stereotyping & objectification
282	damning
283	discredit
284	none
285	stereotyping & objectification
286	discredit
287	discredit
288	none
289	none
290	discredit
291	discredit
292	stereotyping & objectification
293	damning
294	none
295	discredit
296	discredit
297	none
298	threat of violence
299	discredit
300	none
301	none
302	discredit
303	discredit
304	none
305	derailing
306	damning
307	discredit
308	none
309	discredit
310	damning
311	none
312	none
313	discredit
314	none
315	discredit
316	discredit
317	none
318	stereotyping & objectification
319	none
320	discredit
321	none
322	discredit
323	discredit
324	threat of violence
325	threat of violence
326	none
327	discredit
328	threat of violence
329	none
330	none
331	threat of violence
332	discredit
333	damning
334	stereotyping & objectification
335	discredit
336	damning
337	stereotyping & objectification
338	discredit
339	none
340	discredit
341	stereotyping & objectification
342	damning
343	discredit
344	discredit
345	discredit
346	discredit
347	discredit
348	none
349	discredit
350	none
351	discredit
352	discredit
353	stereotyping & objectification
354	none
355	stereotyping & objectification
356	dominance
357	damning
358	discredit
359	discredit
360	discredit
361	none
362	discredit
363	discredit
364	discredit
365	threat of violence
366	none
367	none
368	damning
369	discredit
370	discredit
371	none
372	none
373	threat of violence
374	discredit
375	none
376	none
377	none
378	none
379	none
380	none
381	none
382	none
383	none
384	none
385	none
386	none
387	none
388	none
389	discredit
390	none
391	none
392	discredit
393	none
394	damning
395	discredit
396	none
397	discredit
398	damning
399	none
400	none
401	none
402	discredit
403	none
404	discredit
405	discredit
406	none
407	damning
408	discredit
409	discredit
410	damning
411	discredit
412	discredit
413	none
414	none
415	damning
416	discredit
417	stereotyping & objectification
418	none
419	discredit
420	discredit
421	discredit
422	stereotyping & objectification
423	damning
424	discredit
425	discredit
426	none
427	discredit
428	stereotyping & objectification
429	damning
430	none
431	none
432	none
433	discredit
434	discredit
435	discredit
436	stereotyping & objectification
437	discredit
438	discredit
439	none
440	none
441	discredit
442	discredit
443	discredit
444	damning
445	discredit
446	none
447	none
448	none
449	derailing
450	none
451	discredit
452	none
453	none
454	none
455	none
456	discredit
457	none
458	dominance
459	discredit
460	stereotyping & objectification
461	discredit
462	none
463	none
464	discredit
465	stereotyping & objectification
466	none
467	discredit
468	none
469	dominance
470	none
471	discredit
472	discredit
473	none
474	none
475	discredit
476	none
477	none
478	discredit
479	damning
480	none
481	discredit
482	damning
483	stereotyping & objectification
484	stereotyping & objectification
485	threat of violence
486	damning
487	discredit
488	discredit
489	none
490	stereotyping & objectification
491	none
492	none
493	discredit
494	none
495	none
496	none
497	discredit
498	stereotyping & objectification
499	discredit
500	none
501	none
502	none
503	stereotyping & objectification
504	none
505	none
506	none
507	stereotyping & objectification
508	discredit
509	discredit
510	discredit
511	discredit
512	discredit
513	discredit
514	discredit
515	derailing
516	none
517	derailing
518	discredit
519	discredit
520	derailing
521	none
522	none
523	discredit
524	discredit
525	none
526	none
527	none
528	threat of violence
529	stereotyping & objectification
530	none
531	none
532	discredit
533	stereotyping & objectification
534	discredit
535	threat of violence
536	discredit
537	none
538	damning
539	discredit
540	none
541	none
542	none
543	none
544	none
545	damning
546	dominance
547	none
548	discredit
549	discredit
550	none
551	discredit
552	none
553	stereotyping & objectification
554	discredit
555	threat of violence
556	threat of violence
557	damning
558	none
559	discredit
560	damning
561	discredit
562	discredit
563	discredit
564	discredit
565	none
566	discredit
567	damning
568	dominance
569	discredit
570	stereotyping & objectification
571	none
572	discredit
573	discredit
574	none
575	none
576	none
577	none
578	discredit
579	none
580	none
581	damning
582	discredit
583	discredit
584	damning
585	dominance
586	dominance
587	discredit
588	none
589	none
590	none
591	none
592	none
593	dominance
594	none
595	discredit
596	stereotyping & objectification
597	stereotyping & objectification
598	discredit
599	none
600	damning
601	none
602	discredit
603	none
604	discredit
605	discredit
606	none
607	none
608	damning
609	discredit
610	discredit
611	discredit
612	discredit
613	discredit
614	none
615	dominance
616	discredit
617	none
618	none
619	none
620	none
621	none
622	derailing
623	discredit
624	none
625	discredit
626	damning
627	discredit
628	discredit
629	discredit
630	discredit
631	none
632	discredit
633	none
634	none
635	damning
636	none
637	damning
638	discredit
639	discredit
640	none
641	discredit
642	discredit
643	discredit
644	none
645	none
646	none
647	discredit
648	discredit
649	dominance
650	none
651	stereotyping & objectification
652	discredit
653	none
654	none
655	none
656	none
657	threat of violence
658	none
659	discredit
660	none
661	none
662	damning
663	none
664	discredit
665	dominance
666	none
667	threat of violence
668	discredit
669	none
670	discredit
671	damning
672	stereotyping & objectification
673	discredit
674	stereotyping & objectification
675	none
676	none
677	damning
678	discredit
679	damning
680	discredit
681	discredit
682	none
683	none
684	dominance
685	none
686	discredit
687	dominance
688	none
689	discredit
690	discredit
691	discredit
692	none
693	damning
694	dominance
695	none
696	none
697	none
698	discredit
699	none
700	threat of violence
701	derailing
702	none
703	damning
704	discredit
705	none
706	threat of violence
707	none
708	stereotyping & objectification
709	damning
710	none
711	damning
712	discredit
713	discredit
714	none
715	discredit
716	none
717	none
718	discredit
719	none
720	threat of violence
721	dominance
722	none
723	none
724	stereotyping & objectification
725	none
726	discredit
727	discredit
728	stereotyping & objectification
729	discredit
730	discredit
731	discredit
732	discredit
733	damning
734	none
735	none
736	sexual harassment
737	discredit
738	discredit
739	dominance
740	discredit
741	none
742	discredit
743	none
744	none
745	none
746	derailing
747	none
748	none
749	discredit
750	discredit
751	threat of violence
752	none
753	none
754	damning
755	threat of violence
756	none
757	stereotyping & objectification
758	discredit
759	discredit
760	discredit
761	discredit
762	threat of violence
763	discredit
764	discredit
765	none
766	none
767	damning
768	damning
769	stereotyping & objectification
770	discredit
771	damning
772	threat of violence
773	none
774	discredit
775	none
776	discredit
777	none
778	discredit
779	none
780	stereotyping & objectification
781	damning
782	stereotyping & objectification
783	stereotyping & objectification
784	discredit
785	none
786	stereotyping & objectification
787	stereotyping & objectification
788	none
789	discredit
790	none
791	none
792	stereotyping & objectification
793	none
794	derailing
795	discredit
796	none
797	discredit
798	none
799	discredit
800	none
801	discredit
802	none
803	discredit
804	none
805	none
806	none
807	discredit
808	damning
809	none
810	none
811	none
812	discredit
813	damning
814	none
815	none
816	none
817	discredit
818	none
819	none
820	dominance
821	discredit
822	none
823	none
824	stereotyping & objectification
825	discredit
826	none
827	discredit
828	none
829	none
830	none
831	threat of violence
832	none
833	none
834	discredit
835	damning
836	discredit
837	discredit
838	discredit
839	stereotyping & objectification
840	sexual harassment
841	dominance
842	discredit
843	none
844	stereotyping & objectification
845	derailing
846	none
847	none
848	discredit
849	damning
850	discredit
851	discredit
852	none
853	discredit
854	damning
855	damning
856	discredit
857	dominance
858	damning
859	none
860	damning
861	none
862	none
863	damning
864	damning
865	none
866	none
867	discredit
868	damning
869	none
870	discredit
871	none
872	dominance
873	discredit
874	discredit
875	dominance
876	stereotyping & objectification
877	discredit
878	none
879	damning
880	threat of violence
881	none
882	discredit
883	stereotyping & objectification
884	none
885	dominance
886	damning
887	none
888	dominance
889	none
890	discredit
891	discredit
892	discredit
893	damning
894	none
895	none
896	none
897	damning
898	discredit
899	damning
900	threat of violence
901	none
902	discredit
903	discredit
904	none
905	none
906	discredit
907	discredit
908	discredit
909	none
910	stereotyping & objectification
911	none
912	none
913	stereotyping & objectification
914	discredit
915	dominance
916	damning
917	none
918	discredit
919	none
920	none
921	discredit
922	none
923	damning
924	discredit
925	none
926	stereotyping & objectification
927	damning
928	none
929	stereotyping & objectification
930	discredit
931	discredit
932	discredit
933	discredit
934	stereotyping & objectification
935	none
936	none
937	damning
938	none
939	none
940	none
941	threat of violence
942	none
943	stereotyping & objectification
944	discredit
945	none
946	none
947	discredit
948	discredit
949	discredit
950	none
951	damning
952	stereotyping & objectification
953	discredit
954	none
955	none
956	dominance
957	discredit
958	damning
959	derailing
960	none
961	none
962	threat of violence
963	none
964	discredit
965	discredit
966	none
967	threat of violence
968	discredit
969	none
970	none
971	none
972	none
973	none
974	none
975	none
976	none
977	none
978	none
979	none
980	stereotyping & objectification
981	discredit
982	discredit
983	none
984	none
985	damning
986	discredit
987	discredit
988	damning
989	discredit
990	dominance
991	discredit
992	none
993	none
994	discredit
995	none
996	none
997	discredit
998	derailing
999	none
1000	none
1001	damning
1002	none
1003	none
1004	damning
1005	threat of violence
1006	none
1007	none
1008	discredit
1009	none
1010	discredit
1011	discredit
1012	none
1013	discredit
1014	dominance
1015	none
1016	discredit
1017	discredit
1018	stereotyping & objectification
1019	none
1020	none
1021	none
1022	discredit
1023	none
1024	discredit
1025	discredit
1026	discredit
1027	none
1028	none
1029	discredit
1030	discredit
1031	discredit
1032	none
1033	none
1034	none
1035	discredit
1036	none
1037	none
1038	discredit
1039	damning
1040	none
1041	discredit
1042	threat of violence
1043	discredit
1044	none
1045	none
1046	discredit
1047	stereotyping & objectification
1048	damning
1049	none
1050	discredit
1051	none
1052	discredit
1053	none
1054	stereotyping & objectification
1055	discredit
1056	none
1057	discredit
1058	none
1059	none
1060	derailing
1061	none
1062	none
1063	stereotyping & objectification
1064	discredit
1065	none
1066	discredit
1067	none
1068	discredit
1069	discredit
1070	discredit
1071	none
1072	none
1073	none
1074	discredit
1075	none
1076	discredit
1077	discredit
1078	none
1079	none
1080	none
1081	none
1082	discredit
1083	none
1084	dominance
1085	damning
1086	damning
1087	discredit
1088	none
1089	discredit
1090	none
1091	discredit
1092	stereotyping & objectification
1093	stereotyping & objectification
1094	none
1095	none
1096	none
1097	none
1098	discredit
1099	stereotyping & objectification
1100	discredit
1101	none
1102	threat of violence
1103	none
1104	none
1105	discredit
1106	discredit
1107	discredit
1108	none
1109	threat of violence
1110	discredit
1111	discredit
1112	none
1113	discredit
1114	discredit
1115	none
1116	none
1117	none
1118	none
1119	discredit
1120	stereotyping & objectification
1121	discredit
1122	none
1123	dominance
1124	none
1125	none
1126	discredit
1127	discredit
1128	dominance
1129	threat of violence
1130	none
1131	discredit
1132	damning
1133	threat of violence
1134	none
1135	damning
1136	none
1137	none
1138	none
1139	none
1140	threat of violence
1141	discredit
1142	threat of violence
1143	none
1144	discredit
1145	none
1146	discredit
1147	none
1148	damning
1149	damning
1150	none
1151	discredit
1152	discredit
1153	damning
1154	discredit
1155	none
1156	damning
1157	dominance
1158	none
1159	none
1160	stereotyping & objectification
1161	discredit
1162	none
1163	discredit
1164	none
1165	none
1166	discredit
1167	none
1168	none
1169	derailing
1170	damning
1171	discredit
1172	discredit
1173	damning
1174	none
1175	stereotyping & objectification
1176	none
1177	none
1178	stereotyping & objectification
1179	none
1180	none
1181	none
1182	stereotyping & objectification
1183	stereotyping & objectification
1184	discredit
1185	discredit
1186	discredit
1187	damning
1188	stereotyping & objectification
1189	none
1190	discredit
1191	discredit
1192	none
1193	discredit
1194	discredit
1195	dominance
1196	discredit
1197	none
1198	discredit
1199	damning
1200	discredit
1201	none
1202	discredit
1203	stereotyping & objectification
1204	discredit
1205	discredit
1206	damning
1207	discredit
1208	discredit
1209	none
1210	none
1211	damning
1212	none
1213	damning
1214	discredit
1215	discredit
1216	none
1217	none
1218	damning
1219	none
1220	discredit
1221	none
1222	discredit
1223	discredit
1224	none
1225	discredit
1226	discredit
1227	none
1228	none
1229	discredit
1230	none
1231	none
1232	discredit
1233	none
1234	none
1235	damning
1236	none
1237	none
1238	discredit
1239	dominance
1240	none
1241	damning
1242	none
1243	none
1244	none
1245	discredit
1246	discredit
1247	discredit
1248	none
1249	discredit
1250	none
1251	discredit
1252	discredit
1253	discredit
1254	derailing
1255	discredit
1256	none
1257	none
1258	stereotyping & objectification
1259	none
1260	discredit
1261	none
1262	derailing
1263	discredit
1264	damning
1265	none
1266	discredit
1267	discredit
1268	damning
1269	none
1270	none
1271	discredit
1272	discredit
1273	discredit
1274	none
1275	none
1276	none
1277	none
1278	discredit
1279	damning
1280	discredit
1281	none
1282	discredit
1283	dominance
1284	none
1285	discredit
1286	damning
1287	derailing
1288	none
1289	none
1290	none
1291	discredit
1292	none
1293	none
1294	none
1295	none
1296	none
1297	discredit
1298	none
1299	none
1300	none
1301	discredit
1302	stereotyping & objectification
1303	discredit
1304	none
1305	none
1306	discredit
1307	none
1308	damning
1309	none
1310	damning
1311	none
1312	discredit
1313	none
1314	damning
1315	none
1316	discredit
1317	none
1318	discredit
1319	none
1320	discredit
1321	none
1322	none
1323	discredit
1324	none
1325	stereotyping & objectification
1326	none
1327	none
1328	none
1329	discredit
1330	damning
1331	discredit
1332	discredit
1333	stereotyping & objectification
1334	none
1335	damning
1336	discredit
1337	discredit
1338	none
1339	discredit
1340	damning
1341	discredit
1342	none
1343	discredit
1344	none
1345	none
1346	discredit
1347	none
1348	none
1349	none
1350	none
1351	none
1352	damning
1353	discredit
1354	none
1355	threat of violence
1356	none
1357	none
1358	none
1359	threat of violence
1360	discredit
1361	threat of violence
1362	none
1363	discredit
1364	discredit
1365	discredit
1366	discredit
1367	discredit
1368	discredit
1369	damning
1370	dominance
1371	none
1372	none
1373	discredit
1374	none
1375	discredit
1376	none
1377	derailing
1378	discredit
1379	discredit
1380	threat of violence
1381	none
1382	discredit
1383	none
1384	discredit
1385	discredit
1386	discredit
1387	none
1388	discredit
1389	discredit
1390	discredit
1391	none
1392	discredit
1393	discredit
1394	damning
1395	none
1396	none
1397	none
1398	discredit
1399	discredit
1400	discredit
1401	none
1402	discredit
1403	discredit
1404	none
1405	none
1406	none
1407	damning
1408	none
1409	discredit
1410	discredit
1411	none
1412	discredit
1413	discredit
1414	none
1415	damning
1416	none
1417	discredit
1418	damning
1419	none
1420	discredit
1421	discredit
1422	none
1423	none
1424	derailing
1425	damning
1426	none
1427	discredit
1428	none
1429	none
1430	none
1431	none
1432	threat of violence
1433	none
1434	discredit
1435	discredit
1436	damning
1437	damning
1438	stereotyping & objectification
1439	dominance
1440	none
1441	discredit
1442	stereotyping & objectification
1443	damning
1444	none
1445	none
1446	discredit
1447	none
1448	discredit
1449	stereotyping & objectification
1450	discredit
1451	discredit
1452	none
1453	discredit
1454	threat of violence
1455	none
1456	discredit
1457	discredit
1458	discredit
1459	discredit
1460	damning
1461	none
1462	discredit
1463	none
1464	none
1465	none
1466	discredit
1467	damning
1468	damning
1469	discredit
1470	none
1471	none
1472	damning
1473	discredit
1474	none
1475	none
1476	stereotyping & objectification
1477	none
1478	threat of violence
1479	none
1480	discredit
1481	damning
1482	none
1483	none
1484	none
1485	none
1486	discredit
1487	discredit
1488	discredit
1489	none
1490	none
1491	discredit
1492	none
1493	none
1494	none
1495	none
1496	damning
1497	discredit
1498	none
1499	stereotyping & objectification
1500	damning
1501	discredit
1502	discredit
1503	none
1504	discredit
1505	damning
1506	none
1507	stereotyping & objectification
1508	discredit
1509	none
1510	derailing
1511	dominance
1512	none
1513	discredit
1514	none
1515	none
1516	none
1517	none
1518	none
1519	damning
1520	discredit
1521	damning
1522	discredit
1523	none
1524	damning
1525	none
1526	threat of violence
1527	none
1528	none
1529	damning
1530	none
1531	stereotyping & objectification
1532	damning
1533	none
1534	dominance
1535	discredit
1536	none
1537	discredit
1538	discredit
1539	none
1540	discredit
1541	none
1542	discredit
1543	none
1544	none
1545	discredit
1546	discredit
1547	dominance
1548	dominance
1549	discredit
1550	discredit
1551	none
1552	stereotyping & objectification
1553	discredit
1554	none
1555	damning
1556	stereotyping & objectification
1557	threat of violence
1558	none
1559	discredit
1560	none
1561	damning
1562	none
1563	none
1564	discredit
1565	discredit
1566	none
1567	discredit
1568	none
1569	none
1570	dominance
1571	none
1572	discredit
1573	none
1574	none
1575	none
1576	none
1577	damning
1578	discredit
1579	none
1580	none
1581	none
1582	stereotyping & objectification
1583	stereotyping & objectification
1584	discredit
1585	discredit
1586	derailing
1587	stereotyping & objectification
1588	discredit
1589	none
1590	damning
1591	damning
1592	discredit
1593	discredit
1594	discredit
1595	discredit
1596	discredit
1597	none
1598	threat of violence
1599	none
1600	discredit
1601	none
1602	discredit
1603	none
1604	stereotyping & objectification
1605	stereotyping & objectification
1606	stereotyping & objectification
1607	none
1608	threat of violence
1609	damning
1610	damning
1611	discredit
1612	threat of violence
1613	none
1614	dominance
1615	none
1616	discredit
1617	none
1618	dominance
1619	none
1620	threat of violence
1621	discredit
1622	sexual harassment
1623	discredit
1624	none
1625	discredit
1626	discredit
1627	none
1628	discredit
1629	none
1630	damning
1631	discredit
1632	damning
1633	damning
1634	damning
1635	none
1636	none
1637	none
1638	discredit
1639	damning
1640	discredit
1641	none
1642	discredit
1643	none
1644	derailing
1645	threat of violence
1646	damning
1647	stereotyping & objectification
1648	discredit
1649	none
1650	damning
1651	discredit
1652	none
1653	stereotyping & objectification
1654	discredit
1655	discredit
1656	threat of violence
1657	damning
1658	dominance
1659	none
1660	discredit
1661	none
1662	none
1663	discredit
1664	none
1665	none
1666	discredit
1667	damning
1668	none
1669	none
1670	discredit
1671	discredit
1672	none
1673	discredit
1674	discredit
1675	none
1676	stereotyping & objectification
1677	discredit
1678	discredit
1679	discredit
1680	none
1681	none
1682	none
1683	discredit
1684	stereotyping & objectification
1685	dominance
1686	discredit
1687	none
1688	discredit
1689	none
1690	none
1691	none
1692	discredit
1693	none
1694	damning
1695	stereotyping & objectification
1696	damning
1697	discredit
1698	discredit
1699	discredit
1700	discredit
1701	none
1702	discredit
1703	none
1704	discredit
1705	none
1706	damning
1707	none
1708	threat of violence
1709	none
1710	discredit
1711	discredit
1712	none
1713	dominance
1714	none
1715	discredit
1716	none
1717	none
1718	none
1719	none
1720	discredit
1721	damning
1722	damning
1723	dominance
1724	none
1725	none
1726	damning
1727	none
1728	stereotyping & objectification
1729	discredit
1730	none
1731	none
1732	discredit
1733	sexual harassment
1734	none
1735	none
1736	damning
1737	none
1738	dominance
1739	derailing
1740	discredit
1741	dominance
1742	discredit
1743	discredit
1744	none
1745	discredit
1746	discredit
1747	damning
1748	dominance
1749	discredit
1750	damning
1751	none
1752	none
1753	discredit
1754	none
1755	dominance
1756	discredit
1757	dominance
1758	none
1759	none
1760	none
1761	dominance
1762	discredit
1763	discredit
1764	discredit
1765	discredit
1766	discredit
1767	discredit
1768	none
1769	threat of violence
1770	none
1771	damning
1772	discredit
1773	none
1774	discredit
1775	damning
1776	discredit
1777	damning
1778	discredit
1779	discredit
1780	damning
1781	discredit
1782	discredit
1783	none
1784	discredit
1785	discredit
1786	none
1787	discredit
1788	none
1789	discredit
1790	discredit
1791	none
1792	none
1793	discredit
1794	discredit
1795	none
1796	discredit
1797	none
1798	discredit
1799	none
1800	discredit
1801	threat of violence
1802	none
1803	none
1804	damning
1805	none
1806	none
1807	discredit
1808	none
1809	discredit
1810	none
1811	dominance
1812	discredit
1813	none
1814	none
1815	none
1816	none
1817	stereotyping & objectification
1818	threat of violence
1819	none
1820	damning
1821	none
1822	discredit
1823	none
1824	none
1825	discredit
1826	discredit
1827	damning
1828	none
1829	stereotyping & objectification
1830	dominance
1831	discredit
1832	none
1833	discredit
1834	none
1835	discredit
1836	none
1837	none
1838	none
1839	none
1840	damning
1841	discredit
1842	none
1843	none
1844	discredit
1845	none
1846	none
1847	discredit
1848	none
1849	discredit
1850	none
1851	none
1852	discredit
1853	none
1854	none
1855	none
1856	damning
1857	discredit
1858	threat of violence
1859	none
1860	dominance
1861	none
1862	none
1863	none
1864	threat of violence
1865	discredit
1866	discredit
1867	none
1868	discredit
1869	discredit
1870	dominance
1871	none
1872	discredit
1873	discredit
1874	discredit
1875	none
1876	none
1877	derailing
1878	discredit
1879	discredit
1880	stereotyping & objectification
1881	discredit
1882	none
1883	discredit
1884	none
1885	stereotyping & objectification
1886	none
1887	none
1888	damning
1889	none
1890	none
1891	discredit
1892	discredit
1893	none
1894	dominance
1895	discredit
1896	none
1897	discredit
1898	none
1899	none
1900	damning
1901	damning
1902	none
1903	none
1904	threat of violence
1905	discredit
1906	discredit
1907	damning
1908	discredit
1909	none
1910	discredit
1911	discredit
1912	discredit
1913	damning
1914	discredit
1915	discredit
1916	damning
1917	none
1918	discredit
1919	discredit
1920	none
1921	none
1922	none
1923	none
1924	discredit
1925	none
1926	none
1927	stereotyping & objectification
1928	stereotyping & objectification
1929	discredit
1930	none
1931	discredit
1932	discredit
1933	none
1934	none
1935	discredit
1936	none
1937	discredit
1938	discredit
1939	discredit
1940	dominance
1941	stereotyping & objectification
1942	discredit
1943	discredit
1944	dominance
1945	none
1946	damning
1947	damning
1948	discredit
1949	stereotyping & objectification
1950	none
1951	derailing
1952	none
1953	discredit
1954	none
1955	damning
1956	discredit
1957	damning
1958	none
1959	discredit
1960	none
1961	discredit
1962	dominance
1963	threat of violence
1964	none
1965	none
1966	none
